7350.000000 0
7400.000000 0.0007
7450.000000 0.0979
7500.000000 1.1241
7550.000000 2.1738
7600.000000 2.3023
7650.000000 2.3349
7700.000000 2.3651
7750.000000 2.3894
7800.000000 2.3997
7850.000000 2.4045
7900.000000 2.4058
7950.000000 2.407
8000.000000 2.41
8050.000000 2.4205
8100.000000 2.4328
8150.000000 2.4459
8200.000000 2.459
8250.000000 2.4726
8300.000000 2.4807
8350.000000 2.4874
8400.000000 2.4955
8450.000000 2.5041
8500.000000 2.516
8550.000000 2.5326
8600.000000 2.5501
8650.000000 2.5703
8700.000000 2.588
8750.000000 2.6073
8800.000000 2.6261
8850.000000 2.6444
8900.000000 2.6618
8950.000000 2.6763
9000.000000 2.6889
9050.000000 2.7015
9100.000000 2.7124
9150.000000 2.7218
9200.000000 2.729
9250.000000 2.7324
9300.000000 2.734
9350.000000 2.7348
9400.000000 2.7322
9450.000000 2.7293
9500.000000 2.7258
9550.000000 2.7235
9600.000000 2.7223
9650.000000 2.7191
9700.000000 2.7173
9750.000000 2.7137
9800.000000 2.7116
9850.000000 2.7081
9900.000000 2.7042
9950.000000 2.7021
10000.000000 2.6987
10050.000000 2.6971
10100.000000 2.6957
10150.000000 2.6943
10200.000000 2.693
10250.000000 2.6919
10300.000000 2.6909
10350.000000 2.6886
10400.000000 2.6881
10450.000000 2.6876
10500.000000 2.6874
10550.000000 2.6875
10600.000000 2.6878
10650.000000 2.6883
10700.000000 2.689
10750.000000 2.6898
10800.000000 2.6906
10850.000000 2.693
10900.000000 2.6937
10950.000000 2.6944
11000.000000 2.6964
11050.000000 2.6951
11100.000000 2.6951
11150.000000 2.6963
11200.000000 2.6975
11250.000000 2.6973
11300.000000 2.6987
11350.000000 2.6993
11400.000000 2.7001
11450.000000 2.7004
11500.000000 2.7022
11550.000000 2.7031
11600.000000 2.7041
11650.000000 2.7066
11700.000000 2.7079
11750.000000 2.7107
11800.000000 2.7136
11850.000000 2.715
11900.000000 2.7182
11950.000000 2.7214
12000.000000 2.7229
12050.000000 2.7247
12100.000000 2.7282
12150.000000 2.7318
12200.000000 2.7337
12250.000000 2.7368
12300.000000 2.7401
12350.000000 2.7423
12400.000000 2.7443
12450.000000 2.7467
12500.000000 2.747
12550.000000 2.7481
12600.000000 2.7483
12650.000000 2.7477
12700.000000 2.7469
12750.000000 2.7466
12800.000000 2.7462
12850.000000 2.7443
12900.000000 2.7443
12950.000000 2.7437
13000.000000 2.7434
13050.000000 2.7446
13100.000000 2.7445
13150.000000 2.7461
13200.000000 2.7479
13250.000000 2.7485
13300.000000 2.7509
13350.000000 2.7534
13400.000000 2.7545
13450.000000 2.7571
13500.000000 2.7601
13550.000000 2.762
13600.000000 2.7654
13650.000000 2.7676
13700.000000 2.7713
13750.000000 2.7751
13800.000000 2.7771
13850.000000 2.7811
13900.000000 2.7836
13950.000000 2.785
14000.000000 2.786
14050.000000 2.7853
14100.000000 2.7843
14150.000000 2.7835
14200.000000 2.7841
14250.000000 2.7865
14300.000000 2.7875
14350.000000 2.7892
14400.000000 2.7893
14450.000000 2.788
14500.000000 2.7887
14550.000000 2.7899
14600.000000 2.7908
14650.000000 2.7913
14700.000000 2.7919
14750.000000 2.7935
14800.000000 2.7935
14850.000000 2.7951
14900.000000 2.7954
14950.000000 2.7973
15000.000000 2.7978
15050.000000 2.7982
15100.000000 2.8004
15150.000000 2.8018
15200.000000 2.8034
15250.000000 2.8059
15300.000000 2.8067
15350.000000 2.8092
15400.000000 2.8117
15450.000000 2.8136
15500.000000 2.8155
15550.000000 2.8169
15600.000000 2.8184
15650.000000 2.8193
15700.000000 2.8215
15750.000000 2.8226
15800.000000 2.8237
15850.000000 2.8258
15900.000000 2.8282
15950.000000 2.8314
16000.000000 2.8352
16050.000000 2.839
16100.000000 2.8432
16150.000000 2.8469
16200.000000 2.8508
16250.000000 2.8563
16300.000000 2.8618
16350.000000 2.8658
16400.000000 2.8695
16450.000000 2.8731
16500.000000 2.8762
16550.000000 2.8802
16600.000000 2.8821
16650.000000 2.8853
16700.000000 2.8883
16750.000000 2.8897
16800.000000 2.8909
16850.000000 2.8935
16900.000000 2.8946
16950.000000 2.8956
17000.000000 2.8983
17050.000000 2.901
17100.000000 2.9037
17150.000000 2.9058
17200.000000 2.9091
17250.000000 2.9109
17300.000000 2.9124
17350.000000 2.9144
17400.000000 2.916
17450.000000 2.9162
17500.000000 2.9177
17550.000000 2.9161
17600.000000 2.9156
17650.000000 2.9131
17700.000000 2.9102
17750.000000 2.9067
17800.000000 2.8978
17850.000000 2.8555
17900.000000 2.6761
17950.000000 2.2075
18000.000000 1.4475
18050.000000 0.6894
18100.000000 0.2236
18150.000000 0.0473
18200.000000 0.0064
18250.000000 0.0005
